event	time	node	configname	repetition	platoon_size
112818	111.553153118947	Highway.node[9].appl	SimpleHighNumberCACC	0	5.0696725804317
112979	111.553434185311	Highway.node[8].appl	SimpleHighNumberCACC	0	1.126469672518e-321
173382	137.439453398758	Highway.node[11].appl	SimpleHighNumberCACC	0	5.5386348864042
173539	137.439708464972	Highway.node[10].appl	SimpleHighNumberCACC	0	1.5365441585663e-321
191756	143.789792179904	Highway.node[13].appl	SimpleHighNumberCACC	0	5.2500165558527
191920	143.790021246138	Highway.node[12].appl	SimpleHighNumberCACC	0	2.0355504608659e-321
235131	158.724786423565	Highway.node[15].appl	SimpleHighNumberCACC	0	5.2304656992661
235300	158.725041489706	Highway.node[14].appl	SimpleHighNumberCACC	0	2.5197347937904e-321
24061	55.713889687574	Highway.node[1].appl	SimpleHighNumberCACC	0	5.1927004502139
24154	55.714157753808	Highway.node[0].appl	SimpleHighNumberCACC	0	3.95252516673e-323
293248	176.488771593575	Highway.node[17].appl	SimpleHighNumberCACC	0	5.3904924266209
293426	176.489000659772	Highway.node[16].appl	SimpleHighNumberCACC	0	3.0088597831732e-321
296780	177.265793133787	Highway.node[6].appl	SimpleHighNumberCACC	0	7.7743401645522
296944	177.266035230503	Highway.node[4].appl	SimpleHighNumberCACC	0	2.0108471785739e-321
313973	182.158753848626	Highway.node[2].appl	SimpleHighNumberCACC	0	5.2193957828353
314075	182.158995945261	Highway.node[0].appl	SimpleHighNumberCACC	0	8.1026765917964e-322
330686	186.513137756157	Highway.node[19].appl	SimpleHighNumberCACC	0	5.1488972919534
330855	186.51336682235	Highway.node[18].appl	SimpleHighNumberCACC	0	3.6313824969332e-321
370177	197.027246816235	Highway.node[10].appl	SimpleHighNumberCACC	0	7.7119550604692
370348	197.027514912533	Highway.node[8].appl	SimpleHighNumberCACC	0	3.2756552319275e-321
402798	205.144888508732	Highway.node[21].appl	SimpleHighNumberCACC	0	5.4668608608934
402963	205.145156575187	Highway.node[20].appl	SimpleHighNumberCACC	0	4.036516326523e-321
41705	70.842264442741	Highway.node[3].appl	SimpleHighNumberCACC	0	5.178517504702
41818	70.842545508908	Highway.node[2].appl	SimpleHighNumberCACC	0	1.5316035021079e-322
447986	215.689585682405	Highway.node[23].appl	SimpleHighNumberCACC	0	5.1322419230782
448147	215.689814748572	Highway.node[22].appl	SimpleHighNumberCACC	0	4.5898698498652e-321
558085	239.883647590049	Highway.node[14].appl	SimpleHighNumberCACC	0	6.0355313909118
558277	239.883889686242	Highway.node[12].appl	SimpleHighNumberCACC	0	3.6709077486005e-321
76122	93.879583356921	Highway.node[5].appl	SimpleHighNumberCACC	0	5.6458415076031
76259	93.879877423299	Highway.node[4].appl	SimpleHighNumberCACC	0	3.6560857792252e-322
95975	104.186665025631	Highway.node[7].appl	SimpleHighNumberCACC	0	5.4392516599273
96138	104.186959092191	Highway.node[6].appl	SimpleHighNumberCACC	0	7.2627649938663e-322
100430	107.500892485392	Highway.node[7].appl	SimpleHighNumberCACC	1	5.5597093996555
100587	107.501199551673	Highway.node[6].appl	SimpleHighNumberCACC	1	6.9663256063616e-322
1065791	336.773419448647	Highway.node[39].appl	SimpleHighNumberCACC	1	5.5453243393716
1065974	336.773661514928	Highway.node[38].appl	SimpleHighNumberCACC	1	8.4485225438853e-321
1109909	343.490786579345	Highway.node[22].appl	SimpleHighNumberCACC	1	4.3698882101918
1110129	343.491080675687	Highway.node[20].appl	SimpleHighNumberCACC	1	4.6540983838245e-321
1139453	347.923756162507	Highway.node[41].appl	SimpleHighNumberCACC	1	5.3796557249135
1139624	347.923985228668	Highway.node[40].appl	SimpleHighNumberCACC	1	9.0611639447285e-321
1221098	360.017048944246	Highway.node[43].appl	SimpleHighNumberCACC	1	5.2535339307693
1221269	360.017317010522	Highway.node[42].appl	SimpleHighNumberCACC	1	9.6145174680707e-321
1231518	361.446073378777	Highway.node[30].appl	SimpleHighNumberCACC	1	5.7741057182903
1231686	361.446328475132	Highway.node[28].appl	SimpleHighNumberCACC	1	7.307230901992e-321
125100	119.124015138125	Highway.node[9].appl	SimpleHighNumberCACC	1	5.2829633796693
125251	119.124244204352	Highway.node[8].appl	SimpleHighNumberCACC	1	1.1462322983517e-321
1289441	369.491733743315	Highway.node[45].appl	SimpleHighNumberCACC	1	5.1199227493402
1289602	369.491975809601	Highway.node[44].appl	SimpleHighNumberCACC	1	1.017775230433e-320
1393345	384.124367483172	Highway.node[47].appl	SimpleHighNumberCACC	1	5.1632279549355
1393514	384.124596549663	Highway.node[46].appl	SimpleHighNumberCACC	1	1.0597708103295e-320
1509918	400.146057287533	Highway.node[49].appl	SimpleHighNumberCACC	1	5.2308006855702
1510079	400.146351353786	Highway.node[48].appl	SimpleHighNumberCACC	1	1.104730784101e-320
1551942	405.731804530003	Highway.node[8].appl	SimpleHighNumberCACC	1	7.8916877012451
1552092	405.732046686774	Highway.node[4].appl	SimpleHighNumberCACC	1	6.7884619738587e-321
1639853	417.170188955547	Highway.node[16].appl	SimpleHighNumberCACC	1	5.8170430252801
1640027	417.170483111739	Highway.node[12].appl	SimpleHighNumberCACC	1	7.0503167661546e-321
1645967	417.722363008501	Highway.node[51].appl	SimpleHighNumberCACC	1	5.5541273182242
1646132	417.72260507468	Highway.node[50].appl	SimpleHighNumberCACC	1	1.1462322983517e-320
165154	136.337991152544	Highway.node[11].appl	SimpleHighNumberCACC	1	5.5995456891585
165315	136.338285218914	Highway.node[10].appl	SimpleHighNumberCACC	1	1.6205353183593e-321
1653172	418.599047649041	Highway.node[38].appl	SimpleHighNumberCACC	1	6.2220237730156
