event	time	node	configname	repetition	platoon_size
1013996	328.887794760358	Highway.node[41].appl	SimpleHighNumberPLOEG	0	7.7425208427198
1014149	328.888023870167	Highway.node[40].appl	SimpleHighNumberPLOEG	0	9.3971285839005e-321
1059888	336.164155872256	Highway.node[20].appl	SimpleHighNumberPLOEG	0	11.87424655496
1060078	336.164463208582	Highway.node[16].appl	SimpleHighNumberPLOEG	0	1.0997901276426e-320
1095540	341.428989640594	Highway.node[43].appl	SimpleHighNumberPLOEG	0	7.769228291244
1095690	341.429231756365	Highway.node[42].appl	SimpleHighNumberPLOEG	0	9.906016199117e-321
1231354	361.606289384415	Highway.node[45].appl	SimpleHighNumberPLOEG	0	7.7957998369062
1231517	361.606557499979	Highway.node[44].appl	SimpleHighNumberPLOEG	0	1.0261743464123e-320
123894	119.675404960632	Highway.node[11].appl	SimpleHighNumberPLOEG	0	7.6302308432327
124028	119.675647069253	Highway.node[10].appl	SimpleHighNumberPLOEG	0	1.6798231958602e-321
1264680	366.128531816588	Highway.node[30].appl	SimpleHighNumberPLOEG	0	5.6875148518321
1264882	366.128839011116	Highway.node[28].appl	SimpleHighNumberPLOEG	0	6.6649455623984e-321
1288260	369.028450523639	Highway.node[38].appl	SimpleHighNumberPLOEG	0	9.584773733477
1288440	369.02871871147	Highway.node[36].appl	SimpleHighNumberPLOEG	0	9.4070098968173e-321
1311389	371.996124771643	Highway.node[47].appl	SimpleHighNumberPLOEG	0	7.6630989552403
1311538	371.996366884277	Highway.node[46].appl	SimpleHighNumberPLOEG	0	1.0834859613299e-320
13240	40.713827994994	Highway.node[1].appl	SimpleHighNumberPLOEG	0	7.6639277791975
13313	40.714057104803	Highway.node[0].appl	SimpleHighNumberPLOEG	0	4.9406564584125e-323
1425859	387.31549517916	Highway.node[49].appl	SimpleHighNumberPLOEG	0	7.8481109159463
1426000	387.315750291259	Highway.node[48].appl	SimpleHighNumberPLOEG	0	1.1373391167265e-320
1534120	401.401999701139	Highway.node[51].appl	SimpleHighNumberPLOEG	0	7.7716104971236
1534261	401.402215811733	Highway.node[50].appl	SimpleHighNumberPLOEG	0	1.1911922721232e-320
155222	133.670918741306	Highway.node[13].appl	SimpleHighNumberPLOEG	0	7.8755781874714
155367	133.671134856114	Highway.node[12].appl	SimpleHighNumberPLOEG	0	2.203532780452e-321
1748041	428.055073084026	Highway.node[53].appl	SimpleHighNumberPLOEG	0	7.9619575325765
1748202	428.055328197968	Highway.node[52].appl	SimpleHighNumberPLOEG	0	1.2267649986238e-320
1770288	430.728880797976	Highway.node[55].appl	SimpleHighNumberPLOEG	0	7.8422134435523
1770422	430.729148909334	Highway.node[54].appl	SimpleHighNumberPLOEG	0	1.3191552743961e-320
