event	time	node	configname	repetition	platoon_size
112979	111.553434185311	Highway.node[8].appl	SimpleHighNumberCACC	0	2
173539	137.439708464972	Highway.node[10].appl	SimpleHighNumberCACC	0	2
191920	143.790021246138	Highway.node[12].appl	SimpleHighNumberCACC	0	2
235300	158.725041489706	Highway.node[14].appl	SimpleHighNumberCACC	0	2
24154	55.714157753808	Highway.node[0].appl	SimpleHighNumberCACC	0	2
293426	176.489000659772	Highway.node[16].appl	SimpleHighNumberCACC	0	2
296944	177.266035230503	Highway.node[4].appl	SimpleHighNumberCACC	0	4
314075	182.158995945261	Highway.node[0].appl	SimpleHighNumberCACC	0	4
330855	186.51336682235	Highway.node[18].appl	SimpleHighNumberCACC	0	2
370348	197.027514912533	Highway.node[8].appl	SimpleHighNumberCACC	0	4
402963	205.145156575187	Highway.node[20].appl	SimpleHighNumberCACC	0	2
41818	70.842545508908	Highway.node[2].appl	SimpleHighNumberCACC	0	2
448147	215.689814748572	Highway.node[22].appl	SimpleHighNumberCACC	0	2
558277	239.883889686242	Highway.node[12].appl	SimpleHighNumberCACC	0	4
76259	93.879877423299	Highway.node[4].appl	SimpleHighNumberCACC	0	2
96138	104.186959092191	Highway.node[6].appl	SimpleHighNumberCACC	0	2
100587	107.501199551673	Highway.node[6].appl	SimpleHighNumberCACC	1	2
1065974	336.773661514928	Highway.node[38].appl	SimpleHighNumberCACC	1	2
1110129	343.491080675687	Highway.node[20].appl	SimpleHighNumberCACC	1	4
1139624	347.923985228668	Highway.node[40].appl	SimpleHighNumberCACC	1	2
1221269	360.017317010522	Highway.node[42].appl	SimpleHighNumberCACC	1	2
1231686	361.446328475132	Highway.node[28].appl	SimpleHighNumberCACC	1	4
125251	119.124244204352	Highway.node[8].appl	SimpleHighNumberCACC	1	2
1289602	369.491975809601	Highway.node[44].appl	SimpleHighNumberCACC	1	2
1393514	384.124596549663	Highway.node[46].appl	SimpleHighNumberCACC	1	2
1510079	400.146351353786	Highway.node[48].appl	SimpleHighNumberCACC	1	2
1552092	405.732046686774	Highway.node[4].appl	SimpleHighNumberCACC	1	8
1640027	417.170483111739	Highway.node[12].appl	SimpleHighNumberCACC	1	8
1646132	417.72260507468	Highway.node[50].appl	SimpleHighNumberCACC	1	2
165315	136.338285218914	Highway.node[10].appl	SimpleHighNumberCACC	1	2
1653352	418.599276745303	Highway.node[36].appl	SimpleHighNumberCACC	1	4
1714026	426.126374996266	Highway.node[52].appl	SimpleHighNumberCACC	1	2
1812325	438.488581568898	Highway.node[54].appl	SimpleHighNumberCACC	1	2
1823308	439.682936943039	Highway.node[32].appl	SimpleHighNumberCACC	1	4
190723	145.598141353683	Highway.node[12].appl	SimpleHighNumberCACC	1	2
2024854	463.841584773508	Highway.node[56].appl	SimpleHighNumberCACC	1	2
2090381	471.23155455876	Highway.node[58].appl	SimpleHighNumberCACC	1	2
2220574	485.480097995135	Highway.node[40].appl	SimpleHighNumberCACC	1	4
2232538	486.661510655654	Highway.node[60].appl	SimpleHighNumberCACC	1	2
2316632	495.707351622263	Highway.node[48].appl	SimpleHighNumberCACC	1	4
2348910	499.081974608174	Highway.node[52].appl	SimpleHighNumberCACC	1	4
237846	162.525372592719	Highway.node[14].appl	SimpleHighNumberCACC	1	2
2410088	505.312719250425	Highway.node[62].appl	SimpleHighNumberCACC	1	2
2495430	513.885289822141	Highway.node[44].appl	SimpleHighNumberCACC	1	4
2553992	519.849508256172	Highway.node[64].appl	SimpleHighNumberCACC	1	2
2700424	534.880599867633	Highway.node[66].appl	SimpleHighNumberCACC	1	2
27659	58.153618279973	Highway.node[0].appl	SimpleHighNumberCACC	1	2
276709	175.042945651376	Highway.node[16].appl	SimpleHighNumberCACC	1	2
2816698	546.496024582483	Highway.node[68].appl	SimpleHighNumberCACC	1	2
2864595	551.175811669907	Highway.node[56].appl	SimpleHighNumberCACC	1	4
2924312	556.883660597495	Highway.node[70].appl	SimpleHighNumberCACC	1	2
3072134	570.878332270976	Highway.node[60].appl	SimpleHighNumberCACC	1	4
3120979	575.292057947211	Highway.node[72].appl	SimpleHighNumberCACC	1	2
3336216	594.914013420204	Highway.node[74].appl	SimpleHighNumberCACC	1	2
334704	192.357929523025	Highway.node[18].appl	SimpleHighNumberCACC	1	2
3361415	597.04172432463	Highway.node[64].appl	SimpleHighNumberCACC	1	4
