event	time	node	configname	repetition	platoon_size
1014149	328.888023870167	Highway.node[40].appl	SimpleHighNumberPLOEG	0	2
1060078	336.164463208582	Highway.node[16].appl	SimpleHighNumberPLOEG	0	8
1095690	341.429231756365	Highway.node[42].appl	SimpleHighNumberPLOEG	0	2
1231517	361.606557499979	Highway.node[44].appl	SimpleHighNumberPLOEG	0	2
124028	119.675647069253	Highway.node[10].appl	SimpleHighNumberPLOEG	0	2
1264882	366.128839011116	Highway.node[28].appl	SimpleHighNumberPLOEG	0	4
1288440	369.02871871147	Highway.node[36].appl	SimpleHighNumberPLOEG	0	4
1311538	371.996366884277	Highway.node[46].appl	SimpleHighNumberPLOEG	0	2
13313	40.714057104803	Highway.node[0].appl	SimpleHighNumberPLOEG	0	2
1426000	387.315750291259	Highway.node[48].appl	SimpleHighNumberPLOEG	0	2
1534261	401.402215811733	Highway.node[50].appl	SimpleHighNumberPLOEG	0	2
155367	133.671134856114	Highway.node[12].appl	SimpleHighNumberPLOEG	0	2
1748202	428.055328197968	Highway.node[52].appl	SimpleHighNumberPLOEG	0	2
1770422	430.729148909334	Highway.node[54].appl	SimpleHighNumberPLOEG	0	2
180993	144.266121610186	Highway.node[4].appl	SimpleHighNumberPLOEG	0	4
1861200	441.583737028888	Highway.node[56].appl	SimpleHighNumberPLOEG	0	2
201971	151.86269404269	Highway.node[14].appl	SimpleHighNumberPLOEG	0	2
203320	152.159076425874	Highway.node[0].appl	SimpleHighNumberPLOEG	0	4
2038927	462.144942585844	Highway.node[58].appl	SimpleHighNumberPLOEG	0	2
2056269	463.96755743619	Highway.node[48].appl	SimpleHighNumberPLOEG	0	4
2080428	466.6211670341	Highway.node[32].appl	SimpleHighNumberPLOEG	0	8
2092300	467.705269117179	Highway.node[40].appl	SimpleHighNumberPLOEG	0	4
2142463	473.08480375553	Highway.node[60].appl	SimpleHighNumberPLOEG	0	2
234011	162.738498122215	Highway.node[8].appl	SimpleHighNumberPLOEG	0	4
2370294	497.577169795929	Highway.node[62].appl	SimpleHighNumberPLOEG	0	2
2382560	498.659742779781	Highway.node[56].appl	SimpleHighNumberPLOEG	0	4
244612	166.083584161018	Highway.node[16].appl	SimpleHighNumberPLOEG	0	2
2470040	507.692623742804	Highway.node[64].appl	SimpleHighNumberPLOEG	0	2
25161	55.842542658016	Highway.node[2].appl	SimpleHighNumberPLOEG	0	2
2617864	522.842058279892	Highway.node[66].appl	SimpleHighNumberPLOEG	0	2
2643290	525.25112924319	Highway.node[44].appl	SimpleHighNumberPLOEG	0	4
2751680	536.121964663697	Highway.node[68].appl	SimpleHighNumberPLOEG	0	2
275227	175.888198243973	Highway.node[18].appl	SimpleHighNumberPLOEG	0	2
2810231	541.970605880564	Highway.node[24].appl	SimpleHighNumberPLOEG	0	8
2880816	548.756944035346	Highway.node[70].appl	SimpleHighNumberPLOEG	0	2
2903495	550.870634009359	Highway.node[16].appl	SimpleHighNumberPLOEG	0	16
2941683	554.315148047631	Highway.node[60].appl	SimpleHighNumberPLOEG	0	4
3033532	563.268525267111	Highway.node[72].appl	SimpleHighNumberPLOEG	0	2
3073748	567.162575428547	Highway.node[52].appl	SimpleHighNumberPLOEG	0	4
3229775	582.100478127163	Highway.node[74].appl	SimpleHighNumberPLOEG	0	2
331810	192.663910796763	Highway.node[20].appl	SimpleHighNumberPLOEG	0	2
3428354	600.485890354894	Highway.node[76].appl	SimpleHighNumberPLOEG	0	2
3502735	607.110013015125	Highway.node[78].appl	SimpleHighNumberPLOEG	0	2
3510445	607.811003134197	Highway.node[68].appl	SimpleHighNumberPLOEG	0	4
3517801	608.288651500052	Highway.node[40].appl	SimpleHighNumberPLOEG	0	8
3711755	625.106762218814	Highway.node[80].appl	SimpleHighNumberPLOEG	0	2
3758639	629.066198044034	Highway.node[72].appl	SimpleHighNumberPLOEG	0	4
3884583	639.528703554006	Highway.node[82].appl	SimpleHighNumberPLOEG	0	2
394682	209.035696143612	Highway.node[22].appl	SimpleHighNumberPLOEG	0	2
4021003	650.689751744149	Highway.node[56].appl	SimpleHighNumberPLOEG	0	8
4029869	651.217309787686	Highway.node[84].appl	SimpleHighNumberPLOEG	0	2
4098278	656.854590623588	Highway.node[64].appl	SimpleHighNumberPLOEG	0	4
4334947	675.512203478339	Highway.node[86].appl	SimpleHighNumberPLOEG	0	2
4401330	680.426239182847	Highway.node[88].appl	SimpleHighNumberPLOEG	0	2
448181	221.919122546302	Highway.node[16].appl	SimpleHighNumberPLOEG	0	4
450702	222.272949254845	Highway.node[24].appl	SimpleHighNumberPLOEG	0	2
4589833	694.399110633219	Highway.node[90].appl	SimpleHighNumberPLOEG	0	2
4624391	696.878993094369	Highway.node[80].appl	SimpleHighNumberPLOEG	0	4
489531	231.342632147983	Highway.node[26].appl	SimpleHighNumberPLOEG	0	2
4896225	716.092615556747	Highway.node[92].appl	SimpleHighNumberPLOEG	0	2
5090603	729.275396477207	Highway.node[94].appl	SimpleHighNumberPLOEG	0	2
5166247	734.261332195309	Highway.node[96].appl	SimpleHighNumberPLOEG	0	2
51749	78.879913695145	Highway.node[4].appl	SimpleHighNumberPLOEG	0	2
5287877	742.363017924013	Highway.node[76].appl	SimpleHighNumberPLOEG	0	4
5383228	748.642112773431	Highway.node[98].appl	SimpleHighNumberPLOEG	0	2
5561164	760.212053753008	Highway.node[84].appl	SimpleHighNumberPLOEG	0	4
5599999	762.685928467688	Highway.node[100].appl	SimpleHighNumberPLOEG	0	2
5720480	770.478880570505	Highway.node[56].appl	SimpleHighNumberPLOEG	0	12
5791560	774.924551179509	Highway.node[92].appl	SimpleHighNumberPLOEG	0	4
5818281	776.549305705121	Highway.node[102].appl	SimpleHighNumberPLOEG	0	2
5822443	776.808589944829	Highway.node[48].appl	SimpleHighNumberPLOEG	0	8
5906061	781.902150137342	Highway.node[72].appl	SimpleHighNumberPLOEG	0	8
590801	253.870922451283	Highway.node[28].appl	SimpleHighNumberPLOEG	0	2
6035920	790.057440307216	Highway.node[96].appl	SimpleHighNumberPLOEG	0	4
6179946	798.992821586641	Highway.node[104].appl	SimpleHighNumberPLOEG	0	2
6253647	803.371610773919	Highway.node[40].appl	SimpleHighNumberPLOEG	0	16
6315468	807.020647057387	Highway.node[106].appl	SimpleHighNumberPLOEG	0	2
63311	86.310344771615	Highway.node[6].appl	SimpleHighNumberPLOEG	0	2
643549	264.617753615517	Highway.node[30].appl	SimpleHighNumberPLOEG	0	2
6518274	819.058932208407	Highway.node[88].appl	SimpleHighNumberPLOEG	0	4
6573158	822.206777901145	Highway.node[108].appl	SimpleHighNumberPLOEG	0	2
669590	269.535517652852	Highway.node[12].appl	SimpleHighNumberPLOEG	0	4
